省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,南岸区,2021-11-25,15,0,15,0,0,0,0
重庆,南岸区,2021-11-24,15,0,15,0,0,0,0
重庆,南岸区,2021-11-23,15,0,15,0,0,0,0
重庆,南岸区,2021-11-22,15,0,15,0,0,0,0
重庆,南岸区,2021-11-21,15,0,15,0,0,0,0
重庆,南岸区,2021-11-20,15,0,15,0,0,0,0
重庆,南岸区,2021-11-19,15,0,15,0,0,0,0
重庆,南岸区,2021-11-18,15,0,15,0,0,0,0
重庆,南岸区,2021-11-17,15,0,15,0,0,0,0
重庆,南岸区,2021-11-16,15,0,15,0,0,0,0
重庆,南岸区,2021-11-15,15,0,15,0,0,0,0
重庆,南岸区,2021-11-14,15,0,15,0,0,0,0
重庆,南岸区,2021-11-13,15,0,15,0,0,0,0
重庆,南岸区,2021-11-12,15,0,15,0,0,0,0
重庆,南岸区,2021-11-11,15,0,15,0,0,0,0
重庆,南岸区,2021-11-10,15,0,15,0,0,0,0
重庆,南岸区,2021-11-09,15,0,15,0,0,0,0
重庆,南岸区,2021-11-08,15,0,15,0,0,0,0
重庆,南岸区,2021-11-07,15,0,15,0,0,0,0
重庆,南岸区,2021-11-06,15,0,15,0,0,0,0
重庆,南岸区,2021-11-05,15,0,15,0,0,0,0
重庆,南岸区,2021-11-04,15,0,15,0,0,0,0
重庆,南岸区,2021-11-03,15,0,15,0,0,0,0
重庆,南岸区,2021-11-02,15,0,15,0,0,0,0
重庆,南岸区,2021-11-01,15,0,15,0,0,0,0
重庆,南岸区,2021-10-31,15,0,15,0,0,0,0
重庆,南岸区,2021-10-30,15,0,15,0,0,0,0
重庆,南岸区,2021-10-29,15,0,15,0,0,0,0
